product_id,product_name,category,brand,price,cost
P00001,Logitech Smart Home Model 1,Smart Home,Sony,22094.06,16820.83
P00002,Logitech Smartphones Model 2,Smartphones,Apple,65046.33,42399.54
P00003,Logitech Smartphones Model 3,Smartphones,Logitech,48432.23,28877.71
P00004,Samsung Smartphones Model 4,Smartphones,Acer,103898.37,60155.43
P00005,LG Accessories Model 5,Accessories,Lenovo,13097.01,9204.76
P00006,Xiaomi Laptops Model 6,Laptops,Asus,174729.97,98919.98
P00007,Sony Gaming Model 7,Gaming,Huawei,71474.61,48652.87
P00008,Lenovo Gaming Model 8,Gaming,Huawei,20846.97,15334.91
P00009,Asus Smartphones Model 9,Smartphones,Apple,140059.0,78904.11
P00010,Samsung Headphones Model 10,Headphones,Acer,37990.17,23296.66
P00011,Lenovo Smart Home Model 11,Smart Home,Huawei,49445.58,27365.85
P00012,LG Gaming Model 12,Gaming,Xiaomi,31507.21,21333.63
P00013,Sony Smart Home Model 13,Smart Home,LG,12621.16,9763.98
P00014,Samsung TV Model 14,TV,Apple,52605.53,39409.81
P00015,Acer Laptops Model 15,Laptops,Sony,90844.26,70912.98
P00016,Samsung Accessories Model 16,Accessories,Xiaomi,10871.79,7295.12
P00017,Acer Gaming Model 17,Gaming,LG,9983.95,7025.0
P00018,Asus Gaming Model 18,Gaming,Samsung,10521.36,7851.33
P00019,Lenovo Accessories Model 19,Accessories,Logitech,8246.92,6548.43
P00020,Samsung Smartphones Model 20,Smartphones,Huawei,89268.86,63621.85
P00021,LG Smart Home Model 21,Smart Home,Logitech,9221.9,7239.15
P00022,Acer Gaming Model 22,Gaming,Samsung,46821.83,35021.52
P00023,Acer Smartphones Model 23,Smartphones,Xiaomi,84526.81,67560.91
P00024,Sony Accessories Model 24,Accessories,Xiaomi,13380.42,8973.24
P00025,Logitech Accessories Model 25,Accessories,Logitech,12452.82,9097.37
P00026,Xiaomi Gaming Model 26,Gaming,Lenovo,50009.85,27675.07
P00027,Xiaomi Smartphones Model 27,Smartphones,Xiaomi,32195.76,18635.81
P00028,Samsung TV Model 28,TV,Sony,132203.68,94072.24
P00029,Lenovo Accessories Model 29,Accessories,Huawei,11998.29,8065.27
P00030,Logitech Accessories Model 30,Accessories,Samsung,5533.54,4207.37
P00031,Huawei Smartphones Model 31,Smartphones,LG,102266.98,75725.4
P00032,Huawei Gaming Model 32,Gaming,Logitech,64116.03,51053.92
P00033,Apple Gaming Model 33,Gaming,Samsung,55021.71,39236.78
P00034,Huawei TV Model 34,TV,Lenovo,134713.87,95470.27
P00035,Lenovo Gaming Model 35,Gaming,Xiaomi,75739.18,51166.32
P00036,Samsung Smartphones Model 36,Smartphones,Lenovo,38512.64,25161.01
P00037,Samsung Gaming Model 37,Gaming,Apple,114380.76,88626.77
P00038,Sony Laptops Model 38,Laptops,Lenovo,115679.37,82321.91
P00039,Lenovo Laptops Model 39,Laptops,Acer,174358.64,107266.99
P00040,Sony Headphones Model 40,Headphones,Acer,18724.4,11618.5
P00041,Sony Gaming Model 41,Gaming,Samsung,15691.93,12195.45
P00042,Apple Laptops Model 42,Laptops,Sony,53539.99,35311.46
P00043,Acer Headphones Model 43,Headphones,Apple,24793.41,16892.2
P00044,Acer Gaming Model 44,Gaming,Lenovo,110870.85,81921.02
P00045,Lenovo Smart Home Model 45,Smart Home,Samsung,30007.7,20135.57
P00046,Apple Smartphones Model 46,Smartphones,LG,53143.36,33061.04
P00047,Samsung Gaming Model 47,Gaming,Sony,12061.35,7378.73
P00048,Acer Headphones Model 48,Headphones,Asus,19406.62,12808.57
P00049,Apple Headphones Model 49,Headphones,Asus,36658.84,23710.81
P00050,Samsung Smartphones Model 50,Smartphones,Sony,141734.17,78340.27
P00051,Xiaomi Accessories Model 51,Accessories,Xiaomi,7629.32,5829.72
P00052,Xiaomi Smartphones Model 52,Smartphones,Lenovo,135194.49,74669.74
P00053,LG Headphones Model 53,Headphones,Xiaomi,7770.05,4364.36
P00054,Xiaomi Gaming Model 54,Gaming,Sony,39634.04,24227.62
P00055,Asus Gaming Model 55,Gaming,Samsung,82903.93,65643.48
P00056,Apple Gaming Model 56,Gaming,Lenovo,63166.26,48996.38
P00057,Huawei Smart Home Model 57,Smart Home,Xiaomi,59626.77,42398.7
P00058,Acer Gaming Model 58,Gaming,LG,54797.08,33077.16
P00059,Apple Gaming Model 59,Gaming,Lenovo,71024.04,51378.79
P00060,Logitech Smart Home Model 60,Smart Home,Logitech,30980.7,19415.34
P00061,LG Smartphones Model 61,Smartphones,LG,60154.88,37964.73
P00062,Samsung Smartphones Model 62,Smartphones,Lenovo,42269.33,33494.49
P00063,Acer Laptops Model 63,Laptops,Samsung,184572.21,129831.66
